WKT,HANDLE,PARCEL
"POLYGON ((583349.41 1034610.036,583372.282 1034625.541,583433.571 1034536.17,583410.706 1034520.593,583349.41 1034610.036))",13311000100,100
"POLYGON ((583372.282 1034625.541,583375.151 1034627.486,583393.4 1034639.856,583454.331 1034550.314,583433.571 1034536.17,583372.282 1034625.541))",13311000110,110
"POLYGON ((583393.4 1034639.856,583414.699 1034654.294,583475.605 1034564.807,583454.331 1034550.314,583393.4 1034639.856))",13311000120,120
"POLYGON ((583414.699 1034654.294,583441.666 1034672.575,583502.497 1034583.128,583475.605 1034564.807,583414.699 1034654.294))",13311000130,130
"POLYGON ((583441.666 1034672.575,583467.073 1034689.798,583527.985 1034600.492,583502.497 1034583.128,583441.666 1034672.575))",13311000140,140
"POLYGON ((583467.073 1034689.798,583487.725 1034703.798,583548.401 1034614.401,583527.985 1034600.492,583467.073 1034689.798))",13311000150,150
"POLYGON ((583424.085 1034508.699,583444.911 1034522.867,583505.165 1034433.592,583484.426 1034419.392,583424.085 1034508.699))",13311000260,260
"POLYGON ((583403.419 1034494.64,583424.085 1034508.699,583484.426 1034419.392,583463.984 1034405.396,583403.419 1034494.64))",13311000270,270
"POLYGON ((583380.857 1034479.29,583403.419 1034494.64,583463.984 1034405.396,583441.484 1034389.99,583380.857 1034479.29))",13311000280,280
"POLYGON ((583339.837 1034451.384,583361.078 1034465.835,583421.846 1034376.543,583400.688 1034362.057,583339.837 1034451.384))",13311000300,300
"POLYGON ((583317.59 1034436.25,583339.837 1034451.384,583400.688 1034362.057,583378.405 1034346.799,583317.59 1034436.25))",13311000310,310
"POLYGON ((583298.812 1034423.475,583317.59 1034436.25,583378.405 1034346.799,583363.071 1034336.3,583359.695 1034333.989,583298.812 1034423.475))",13311000320,320
"POLYGON ((583276.21 1034408.098,583298.812 1034423.475,583359.695 1034333.989,583357.86 1034332.733,583337.793 1034318.993,583276.21 1034408.098))",13311000330,330
"POLYGON ((583227.202 1034374.758,583288.546 1034285.273,583281.029 1034280.127,583255.978 1034263.403,583194.981 1034352.506,583227.202 1034374.758))",13311000360,360
"POLYGON ((584156.971 1034995.711,584208.541 1035031.753,584227.397 1035002.76,584175.884 1034968.152,584156.971 1034995.711))",13313000061,61
"POLYGON ((584198.766 1035046.783,584246.75 1035079.02,584276.359 1035035.654,584227.397 1035002.76,584208.541 1035031.753,584198.766 1035046.783))",13313000090,90
"POLYGON ((584729.348 1036135.461,584784.388 1036171.279,584792.142 1036160.006,584818.133 1036122.217,584764.37 1036085.582,584729.348 1036135.461))",13344000050,50
"POLYGON ((582942.871 1034789.956,583027.21 1034667.143,582995.108 1034643.3,582910.023 1034766.377,582942.871 1034789.956))",13348050010,10
"POLYGON ((582942.871 1034789.956,582972.233 1034810.875,583057.615 1034689.768,583027.21 1034667.143,582942.871 1034789.956))",13348050020,20
"POLYGON ((583073.874 1034982.295,583074.9 1034988.04,583077.018 1034999.908,583097.723 1035013.778,583166.154 1034919.443,583135.442 1034898.67,583073.874 1034982.295))",13348050060,60
"POLYGON ((583097.723 1035013.778,583131.601 1035036.338,583200.016 1034942.345,583166.154 1034919.443,583097.723 1035013.778))",13348050070,70
"POLYGON ((583131.601 1035036.338,583166.458 1035059.55,583234.769 1034965.85,583200.016 1034942.345,583131.601 1035036.338))",13348050080,80
"POLYGON ((583166.458 1035059.55,583199.888 1035081.812,583268.344 1034988.514,583260.917 1034982.8,583234.769 1034965.85,583166.458 1035059.55))",13348050090,90
"POLYGON ((583234.808 1035105.067,583268.924 1035127.786,583337.319 1035034.957,583315.56 1035020.006,583298.369 1035008.65,583234.808 1035105.067))",13348050120,120
"POLYGON ((583268.924 1035127.786,583305.282 1035151.999,583374.1 1035059.8,583348.205 1035042.082,583337.319 1035034.957,583268.924 1035127.786))",13348050135,135
"POLYGON ((583305.282 1035151.999,583340.355 1035175.355,583407.68 1035082.204,583374.1 1035059.8,583305.282 1035151.999))",13348050140,140
"POLYGON ((583340.355 1035175.355,583371.159 1035195.868,583439.0 1035103.1,583407.68 1035082.204,583340.355 1035175.355))",13348050150,150
"POLYGON ((583371.159 1035195.868,583403.128 1035217.157,583469.524 1035123.664,583439.0 1035103.1,583371.159 1035195.868))",13348050160,160
"POLYGON ((583433.14 1035237.143,583462.933 1035256.984,583530.927 1035165.136,583500.6 1035144.6,583433.14 1035237.143))",13348050180,180
"POLYGON ((583462.933 1035256.984,583499.179 1035281.121,583506.427 1035272.258,583561.716 1035195.391,583566.285 1035189.038,583530.927 1035165.136,583462.933 1035256.984))",13348050190,190
"POLYGON ((583500.6 1035144.6,583530.927 1035165.136,583566.285 1035189.038,583604.696 1035142.179,583659.051 1035085.596,583666.584 1035077.754,583668.528 1035075.73,583667.468 1035074.912,583583.459 1035017.69,583500.6 1035144.6))",13348050210,210
"POLYGON ((583439.0 1035103.1,583469.524 1035123.664,583500.6 1035144.6,583583.459 1035017.69,583523.91 1034977.129,583439.0 1035103.1))",13348050220,220
"POLYGON ((583374.1 1035059.8,583407.68 1035082.204,583439.0 1035103.1,583523.91 1034977.129,583458.427 1034932.526,583374.1 1035059.8))",13348050230,230
"POLYGON ((583348.205 1035042.082,583374.1 1035059.8,583458.427 1034932.526,583430.43 1034913.456,583348.205 1035042.082))",13348050240,240
"POLYGON ((583260.917 1034982.8,583268.344 1034988.514,583298.369 1035008.65,583315.56 1035020.006,583401.845 1034893.985,583384.502 1034882.172,583345.684 1034855.272,583260.917 1034982.8))",13348050260,260
"POLYGON ((583253.653 1034752.635,583287.134 1034776.95,583348.271 1034681.745,583314.054 1034658.55,583253.653 1034752.635))",13348050290,290
"POLYGON ((583215.646 1034725.033,583253.653 1034752.635,583314.054 1034658.55,583276.864 1034633.341,583215.646 1034725.033))",13348050295,295
"POLYGON ((583171.073 1034692.663,583215.646 1034725.033,583276.864 1034633.341,583233.094 1034603.671,583171.073 1034692.663))",13348050300,300
"POLYGON ((583130.779 1034663.706,583171.073 1034692.663,583233.094 1034603.671,583190.434 1034574.753,583130.779 1034663.706))",13348050330,330
"POLYGON ((583109.276 1034648.253,583130.779 1034663.706,583190.434 1034574.753,583168.48 1034559.872,583109.276 1034648.253))",13348050340,340
"POLYGON ((583088.462 1034633.295,583109.276 1034648.253,583168.48 1034559.872,583149.329 1034546.89,583147.259 1034545.487,583088.462 1034633.295))",13348050350,350
"POLYGON ((583066.775 1034617.71,583088.462 1034633.295,583147.259 1034545.487,583125.191 1034530.528,583066.775 1034617.71))",13348050360,360
"POLYGON ((583030.71 1034591.8,583066.775 1034617.71,583125.191 1034530.528,583089.524 1034506.724,583030.71 1034591.8))",13348050370,370
"POLYGON ((582995.108 1034643.3,583027.21 1034667.143,583057.615 1034689.768,583093.509 1034716.479,583131.405 1034744.679,583171.073 1034692.663,583130.779 1034663.706,583109.276 1034648.253,583088.462 1034633.295,583066.775 1034617.71,583030.71 1034591.8,582995.108 1034643.3))",13348050380,380
"POLYGON ((583055.28 1034844.451,583135.442 1034898.67,583166.154 1034919.443,583200.016 1034942.345,583234.769 1034965.85,583260.917 1034982.8,583345.684 1034855.272,583361.26 1034830.734,583287.134 1034776.95,583253.653 1034752.635,583215.646 1034725.033,583171.073 1034692.663,583131.405 1034744.679,583100.035 1034785.813,583055.28 1034844.451))",13348050395,395
"POLYGON ((583498.405 1034923.364,583539.195 1034951.024,583603.481 1034855.241,583562.768 1034827.498,583498.405 1034923.364))",13348060020,20
"POLYGON ((583539.195 1034951.024,583586.311 1034982.974,583650.54 1034887.309,583603.481 1034855.241,583539.195 1034951.024))",13348060030,30
"POLYGON ((583586.311 1034982.974,583610.786 1034999.572,583670.693 1034901.042,583650.54 1034887.309,583586.311 1034982.974))",13348060040,40
"POLYGON ((582424.472 1034403.994,582503.036 1034292.446,582461.705 1034263.105,582384.218 1034373.548,582424.472 1034403.994))",13350000010,10
"POLYGON ((582424.472 1034403.994,582445.62 1034419.984,582524.601 1034307.755,582503.036 1034292.446,582424.472 1034403.994))",13350000020,20
"POLYGON ((582545.017 1034495.14,582564.211 1034509.652,582645.804 1034393.795,582626.175 1034379.861,582545.017 1034495.14))",13350000080,80
"POLYGON ((582564.211 1034509.652,582583.933 1034524.564,582665.94 1034408.09,582645.804 1034393.795,582564.211 1034509.652))",13350000090,90
"POLYGON ((582583.933 1034524.564,582629.469 1034558.995,582712.436 1034441.097,582665.94 1034408.09,582583.933 1034524.564))",13350000100,100
"POLYGON ((582663.538 1034584.755,582695.046 1034608.578,582779.465 1034488.681,582747.266 1034465.822,582663.538 1034584.755))",13350000120,120
"POLYGON ((582715.266 1034623.867,582731.11 1034635.847,582816.274 1034514.811,582800.083 1034503.317,582715.266 1034623.867))",13350000140,140
"POLYGON ((582821.683 1034704.33,582866.362 1034738.112,582867.942 1034739.307,582868.826 1034738.028,582950.794 1034619.468,582955.042 1034613.323,582908.856 1034580.534,582821.683 1034704.33))",13350000180,180
"POLYGON ((582734.365 1034438.691,582755.252 1034453.514,582836.121 1034336.016,582814.871 1034321.731,582734.365 1034438.691))",13350000270,270
"POLYGON ((582714.44 1034424.551,582734.365 1034438.691,582814.871 1034321.731,582794.628 1034308.123,582714.44 1034424.551))",13350000280,280
"POLYGON ((582673.882 1034395.768,582693.85 1034409.939,582773.61 1034293.993,582753.295 1034280.337,582673.882 1034395.768))",13350000300,300
"POLYGON ((582611.206 1034351.289,582634.427 1034367.768,582713.184 1034253.373,582689.546 1034237.483,582611.206 1034351.289))",13350000320,320
"POLYGON ((582587.873 1034334.73,582611.206 1034351.289,582689.546 1034237.483,582665.793 1034221.515,582587.873 1034334.73))",13350000330,330
"POLYGON ((582563.337 1034317.317,582587.873 1034334.73,582665.793 1034221.515,582640.845 1034204.744,582563.337 1034317.317))",13350000340,340
"POLYGON ((582539.862 1034300.657,582563.337 1034317.317,582640.845 1034204.744,582616.948 1034188.68,582539.862 1034300.657))",13350000350,350
"POLYGON ((581855.297 1033973.254,581875.017 1033988.171,581941.785 1033892.601,581921.286 1033877.964,581855.297 1033973.254))",13351000020,20
"POLYGON ((581993.926 1034078.118,582012.149 1034091.903,582081.642 1033992.458,582063.069 1033979.197,581993.926 1034078.118))",13351000075,75
"POLYGON ((582012.149 1034091.903,582036.573 1034110.378,582106.554 1034010.244,582081.642 1033992.458,582012.149 1034091.903))",13351000080,80
"POLYGON ((582238.058 1034262.79,582269.989 1034286.944,582344.664 1034180.254,582312.08 1034156.989,582238.058 1034262.79))",13351000150,150
"POLYGON ((582380.49 1034187.427,582420.727 1034216.132,582431.077 1034201.269,582459.474 1034160.493,582419.31 1034130.187,582380.49 1034187.427))",13351000180,180
"POLYGON ((582293.983 1034125.713,582314.895 1034140.632,582387.829 1034032.747,582366.749 1034018.306,582293.983 1034125.713))",13351000230,230
"POLYGON ((582274.886 1034112.089,582293.983 1034125.713,582366.749 1034018.306,582347.484 1034005.108,582274.886 1034112.089))",13351000240,240
"POLYGON ((582254.642 1034097.647,582274.886 1034112.089,582347.484 1034005.108,582326.891 1033991.001,582254.642 1034097.647))",13351000250,250
"POLYGON ((582233.332 1034082.445,582254.642 1034097.647,582326.891 1033991.001,582305.295 1033976.206,582233.332 1034082.445))",13351000260,260
"POLYGON ((582212.048 1034067.261,582233.332 1034082.445,582305.295 1033976.206,582283.801 1033961.482,582212.048 1034067.261))",13351000270,270
"POLYGON ((582111.108 1033995.25,582130.561 1034009.128,582201.225 1033904.912,582189.606 1033896.953,582181.518 1033891.412,582111.108 1033995.25))",13351000310,310
"POLYGON ((582090.891 1033980.828,582111.108 1033995.25,582181.518 1033891.412,582161.038 1033877.382,582090.891 1033980.828))",13351000320,320
"POLYGON ((581913.201 1033854.063,581929.762 1033865.878,581997.819 1033765.568,581981.116 1033754.126,581913.201 1033854.063))",13351000410,410
"POLYGON ((581913.201 1033854.063,581981.116 1033754.126,581955.426 1033737.56,581910.993 1033803.178,581888.638 1033836.541,581913.201 1033854.063))",13351000420,420
"POLYGON ((581604.069504 1033789.578541,581667.219119 1033697.6221539999824,581646.930974 1033683.014239,581584.06704899994656 1033774.581815,581604.069504 1033789.578541))",13352000060,60
"POLYGON ((581724.08423399995081 1033879.558899,581788.947988 1033785.2696429999778,581768.659843 1033770.661728,581704.081779 1033864.56217299995478,581724.08423399995081 1033879.558899))",13352000110,110
"POLYGON ((581744.086689 1033894.555625,581809.23613299999852 1033799.877558,581788.947988 1033785.2696429999778,581724.08423399995081 1033879.558899,581744.086689 1033894.555625))",13352000120,120
"POLYGON ((581829.52427799999714 1033814.48547299997881,581809.23613299999852 1033799.877558,581744.086689 1033894.555625,581764.08914299996104 1033909.552351,581829.52427799999714 1033814.48547299997881))",13352000125,125
"POLYGON ((581840.86642199999187 1033798.00713499996345,581906.29333699995186 1033702.952198,581885.72398 1033688.74299299996346,581820.578278 1033783.39922,581840.86642199999187 1033798.00713499996345))",13352000130,130
"POLYGON ((581820.578278 1033783.39922,581885.72398 1033688.74299299996346,581865.15462199994363 1033674.53378699999303,581800.290133 1033768.79130499996245,581820.578278 1033783.39922))",13352000140,140
"POLYGON ((581800.290133 1033768.79130499996245,581865.15462199994363 1033674.53378699999303,581847.876361 1033662.59805499995127,581783.248091 1033756.520656,581800.290133 1033768.79130499996245))",13352000150,150
"POLYGON ((581783.248091 1033756.520656,581847.876361 1033662.59805499995127,581831.59365799999796 1033651.35004699998535,581767.187996 1033744.957031,581783.248091 1033756.520656))",13352000160,160
"POLYGON ((581735.06780499999877 1033721.82978,581799.0282499999739 1033628.85403299995232,581766.4628429999575 1033606.358019,581702.94761399994604 1033698.702529,581735.06780499999877 1033721.82978))",13352000180,180
"POLYGON ((581702.94761399994604 1033698.702529,581766.4628429999575 1033606.358019,581733.897436 1033583.862005,581670.827423 1033675.57527799997479,581702.94761399994604 1033698.702529))",13352000190,190
"POLYGON ((581670.827423 1033675.57527799997479,581733.897436 1033583.862005,581700.237739 1033560.61006099998485,581637.62790299998596 1033651.670886,581670.827423 1033675.57527799997479))",13352000200,200
"POLYGON ((581637.62790299998596 1033651.670886,581700.237739 1033560.61006099998485,581679.668381 1033546.400856,581617.33975799998734 1033637.06297099997755,581637.62790299998596 1033651.670886))",13352000220,220
"POLYGON ((581597.05161299998872 1033622.455056,581659.09902299998794 1033532.19165099994279,581638.529665 1033517.98244499997236,581576.7634679999901 1033607.84714099997655,581597.05161299998872 1033622.455056))",13352000240,240
"POLYGON ((581022.463 1033087.063,581036.815 1033108.974,581141.673 1033044.608,581126.629 1033021.955,581098.476 1033039.561,581022.463 1033087.063))",13353000020,20
"POLYGON ((581036.815 1033108.974,581050.446 1033129.783,581155.485 1033065.407,581141.673 1033044.608,581036.815 1033108.974))",13353000030,30
"POLYGON ((581050.446 1033129.783,581063.735 1033150.071,581168.86 1033085.547,581155.485 1033065.407,581050.446 1033129.783))",13353000040,40
"POLYGON ((581063.735 1033150.071,581077.565 1033171.183,581182.324 1033105.822,581168.86 1033085.547,581063.735 1033150.071))",13353000050,50
"POLYGON ((581077.565 1033171.183,581091.566 1033192.558,581196.541 1033127.23,581182.324 1033105.822,581077.565 1033171.183))",13353000060,60
"POLYGON ((581091.566 1033192.558,581105.349 1033213.599,581210.312 1033147.968,581196.541 1033127.23,581091.566 1033192.558))",13353000070,70
"POLYGON ((581105.349 1033213.599,581118.733 1033234.031,581223.978 1033168.547,581210.312 1033147.968,581105.349 1033213.599))",13353000080,80
"POLYGON ((581118.733 1033234.031,581146.174 1033275.925,581251.787 1033210.422,581223.978 1033168.547,581118.733 1033234.031))",13353000090,90
"POLYGON ((581159.359 1033296.052,581172.942 1033316.788,581278.889 1033251.234,581267.467 1033234.034,581265.239 1033230.68,581159.359 1033296.052))",13353000110,110
"POLYGON ((581186.354 1033337.264,581200.801 1033359.319,581307.369 1033294.12,581301.609 1033285.446,581292.569 1033271.833,581186.354 1033337.264))",13353000130,130
"POLYGON ((581255.658 1033443.066,581282.131 1033483.481,581389.21 1033417.36,581362.616 1033377.313,581255.658 1033443.066))",13353000160,160
"POLYGON ((581400.553 1033404.888,581418.743 1033432.292,581514.789 1033372.225,581496.638 1033344.819,581400.553 1033404.888))",13353000200,200
"POLYGON ((581387.301 1033384.923,581400.553 1033404.888,581496.638 1033344.819,581483.324 1033324.716,581387.301 1033384.923))",13353000210,210
"POLYGON ((581373.308 1033363.842,581387.301 1033384.923,581483.324 1033324.716,581469.177 1033303.356,581373.308 1033363.842))",13353000220,220
"POLYGON ((581359.317 1033342.763,581373.308 1033363.842,581469.177 1033303.356,581455.349 1033282.476,581359.317 1033342.763))",13353000230,230
"POLYGON ((581319.31 1033282.49,581331.332 1033300.602,581427.302 1033240.127,581415.333 1033222.055,581319.31 1033282.49))",13353000250,250
"POLYGON ((581235.099 1033155.621,581248.702 1033176.114,581344.791 1033115.542,581331.419 1033095.352,581235.099 1033155.621))",13353000300,300
"POLYGON ((581220.908 1033134.242,581235.099 1033155.621,581331.419 1033095.352,581317.349 1033074.107,581220.908 1033134.242))",13353000310,310
"POLYGON ((581059.904 1032983.937,581098.476 1033039.561,581126.629 1033021.955,581091.029 1032968.346,581089.541 1032969.059,581076.742 1032975.484,581059.904 1032983.937))",13353000390,390
"POLYGON ((580692.467 1032593.17,580698.836 1032602.667,580706.03 1032613.396,580808.045 1032549.595,580794.483 1032529.489,580692.467 1032593.17))",13354000060,60
"POLYGON ((580706.03 1032613.396,580719.895 1032634.07,580821.847 1032570.057,580812.679 1032556.466,580808.045 1032549.595,580706.03 1032613.396))",13354000070,70
"POLYGON ((580733.914 1032654.974,580748.531 1032676.772,580850.764 1032612.926,580836.001 1032591.04,580733.914 1032654.974))",13354000090,90
"POLYGON ((580775.787 1032717.414,580789.227 1032737.455,580891.571 1032673.424,580882.691 1032660.259,580878.091 1032653.439,580775.787 1032717.414))",13354000120,120
"POLYGON ((580851.51 1032830.329,580873.224 1032862.708,580975.765 1032798.243,580954.136 1032766.178,580851.51 1032830.329))",13354000160,160
"POLYGON ((580873.224 1032862.708,580887.542 1032884.058,580990.08 1032819.466,580975.765 1032798.243,580873.224 1032862.708))",13354000170,170
"POLYGON ((580887.542 1032884.058,580901.484 1032904.848,581003.884 1032839.93,580992.599 1032823.201,580990.08 1032819.466,580887.542 1032884.058))",13354000180,180
"POLYGON ((580901.484 1032904.848,580915.425 1032925.637,581018.342 1032861.365,581009.882 1032848.823,581003.884 1032839.93,580901.484 1032904.848))",13354000190,190
"POLYGON ((580929.329 1032704.551,580931.964 1032708.458,580943.241 1032725.173,581042.985 1032662.522,581028.7 1032641.839,580929.329 1032704.551))",13354000300,300
"POLYGON ((580914.818 1032683.041,580923.752 1032696.284,580929.329 1032704.551,581028.7 1032641.839,581014.592 1032621.414,580914.818 1032683.041))",13354000310,310
"POLYGON ((580901.876 1032663.856,580914.818 1032683.041,581014.592 1032621.414,581000.819 1032601.473,580901.876 1032663.856))",13354000320,320
"POLYGON ((580887.673 1032642.802,580901.876 1032663.856,581000.819 1032601.473,580986.356 1032580.534,580887.673 1032642.802))",13354000330,330
"POLYGON ((580858.706 1032599.862,580887.673 1032642.802,580986.356 1032580.534,580956.918 1032537.914,580858.706 1032599.862))",13354000340,340
"POLYGON ((580444.716 1032790.974,580456.522 1032808.754,580458.628 1032811.926,580563.752 1032744.771,580549.706 1032722.615,580444.716 1032790.974))",13355000060,60
"POLYGON ((580458.628 1032811.926,580462.946 1032818.429,580472.924 1032833.455,580577.359 1032766.235,580563.752 1032744.771,580458.628 1032811.926))",13355000070,70
"POLYGON ((580500.864 1032875.532,580527.383 1032915.469,580630.102 1032849.43,580604.304 1032808.737,580500.864 1032875.532))",13355000090,90
"POLYGON ((580527.383 1032915.469,580538.625 1032932.399,580640.724 1032866.185,580640.009 1032865.058,580630.102 1032849.43,580527.383 1032915.469))",13355000100,100
"POLYGON ((580538.625 1032932.399,580541.769 1032937.133,580547.158 1032945.249,580649.96 1032880.754,580640.724 1032866.185,580538.625 1032932.399))",13355000110,110
"POLYGON ((580582.554 1032998.555,580583.874 1033000.543,580596.538 1033019.615,580696.549 1032954.243,580683.573 1032933.775,580582.554 1032998.555))",13355000140,140
"POLYGON ((580596.538 1033019.615,580607.495 1033036.115,580624.875 1033062.289,580724.62 1032998.522,580696.549 1032954.243,580596.538 1033019.615))",13355000150,150
"POLYGON ((580603.815 1032776.131,580617.537 1032797.516,580715.248 1032734.898,580711.405 1032729.168,580701.466 1032714.35,580603.815 1032776.131))",13355000310,310
"POLYGON ((580770.993 1033280.819,580785.097 1033301.894,580884.398 1033231.558,580870.534 1033210.649,580770.993 1033280.819))",13356000050,50
"POLYGON ((580799.25 1033323.042,580812.429 1033342.735,580911.69 1033272.718,580898.63 1033253.023,580799.25 1033323.042))",13356000070,70
"POLYGON ((580812.429 1033342.735,580820.965 1033355.491,580826.725 1033364.098,580925.491 1033293.532,580911.69 1033272.718,580812.429 1033342.735))",13356000080,80
"POLYGON ((580854.337 1033405.358,580857.699 1033410.382,580868.069 1033425.877,580967.011 1033356.15,580952.952 1033334.947,580854.337 1033405.358))",13356000110,110
"POLYGON ((580868.069 1033425.877,580881.765 1033446.343,580980.382 1033376.317,580967.011 1033356.15,580868.069 1033425.877))",13356000120,120
"POLYGON ((581120.078 1033558.468,581131.999 1033576.367,581228.237 1033510.703,581215.9 1033491.868,581120.078 1033558.468))",13356000290,290
"POLYGON ((581077.679 1033494.805,581090.829 1033514.55,581187.431 1033448.407,581174.445 1033428.583,581077.679 1033494.805))",13356000320,320
"POLYGON ((581050.17 1033453.501,581063.27 1033473.171,581160.301 1033406.99,581147.364 1033387.24,581050.17 1033453.501))",13356000340,340
"POLYGON ((581036.14 1033432.435,581050.17 1033453.501,581147.364 1033387.24,581133.714 1033366.402,581036.14 1033432.435))",13356000350,350
"POLYGON ((580995.128 1033370.857,581008.392 1033390.772,581106.016 1033324.117,581092.832 1033303.99,580995.128 1033370.857))",13356000380,380
"POLYGON ((580967.456 1033329.307,580995.128 1033370.857,581092.832 1033303.99,581065.381 1033262.082,580967.456 1033329.307))",13356000390,390
"POLYGON ((581288.887644 1033921.253734,581353.3355499999598 1033835.61923599999864,581333.661149 1033820.204799999949,581269.532618 1033905.43024,581288.887644 1033921.253734))",13357000010,10
"POLYGON ((581308.2426699999487 1033937.077228,581373.009957 1033851.03367599996272,581353.3355499999598 1033835.61923599999864,581288.887644 1033921.253734,581308.2426699999487 1033937.077228))",13357000020,20
"POLYGON ((581327.597696 1033952.900722,581392.68437 1033866.4481199999573,581373.009957 1033851.03367599996272,581308.2426699999487 1033937.077228,581327.597696 1033952.900722))",13357000030,30
"POLYGON ((581346.95272199995816 1033968.72421599994414,581412.35878699994646 1033881.86256799998228,581392.68437 1033866.4481199999573,581327.597696 1033952.900722,581346.95272199995816 1033968.72421599994414))",13357000040,40
"POLYGON ((581405.0178 1034016.19469899998512,581471.382069 1033928.10593499999959,581451.707637 1033912.69147499999963,581385.66277399996761 1034000.37120399996638,581405.0178 1034016.19469899998512))",13357000070,70
"POLYGON ((581424.37282699998468 1034032.01819299999624,581491.056507 1033943.520398,581471.382069 1033928.10593499999959,581405.0178 1034016.19469899998512,581424.37282699998468 1034032.01819299999624))",13357000080,80
"POLYGON ((581443.727853 1034047.841687,581510.73094899998978 1033958.93486599996686,581491.056507 1033943.520398,581424.37282699998468 1034032.01819299999624,581443.727853 1034047.841687))",13357000090,90
"POLYGON ((581482.437905 1034079.488675,581550.07984699995723 1033989.763811,581510.73094899998978 1033958.93486599996686,581443.727853 1034047.841687,581482.437905 1034079.488675))",13357000100,100
"POLYGON ((581587.73216599994339 1034165.570869,581653.126623 1034070.49856099998578,581628.77769799996167 1034051.42174599994905,581559.85800899995957 1034142.7826509999577,581587.73216599994339 1034165.570869))",13357000150,150
"POLYGON ((581640.824295 1034035.452607,581709.885419 1033943.90421399998013,581689.88296399998944 1033928.90748699998949,581621.148623 1034020.03717499994673,581640.824295 1034035.452607))",13357000170,170
"POLYGON ((581621.148623 1034020.03717499994673,581689.88296399998944 1033928.90748699998949,581669.880509 1033913.910761,581601.472944 1034004.6217389999656,581621.148623 1034020.03717499994673))",13357000175,175
"POLYGON ((581601.472944 1034004.6217389999656,581669.880509 1033913.910761,581629.875599 1033883.917309,581562.12156899995171 1033973.790853,581601.472944 1034004.6217389999656))",13357000195,195
"POLYGON ((581562.12156899995171 1033973.790853,581629.875599 1033883.917309,581609.87314399995375 1033868.920582,581542.44587299996056 1033958.375403,581562.12156899995171 1033973.790853))",13357000200,200
"POLYGON ((581542.44587299996056 1033958.375403,581609.87314399995375 1033868.920582,581549.8657789999852 1033823.93040399998426,581483.418747 1033912.129024,581542.44587299996056 1033958.375403))",13357000211,211
"POLYGON ((581483.418747 1033912.129024,581549.8657789999852 1033823.93040399998426,581529.863324 1033808.933678,581463.7430249999743 1033896.713555,581483.418747 1033912.129024))",13357000230,230
"POLYGON ((581463.7430249999743 1033896.713555,581529.863324 1033808.933678,581509.86086899996735 1033793.936951,581444.06729799997993 1033881.2980799999787,581463.7430249999743 1033896.713555))",13357000240,240
"POLYGON ((581346.47364099998958 1033769.913575,581361.50504299998283 1033749.937165,581279.47113299998455 1033688.410673,581255.49794599995948 1033701.6806289999513,581346.47364099998958 1033769.913575))",13357000320,320
"POLYGON ((581346.47364099998958 1033769.913575,581255.49794599995948 1033701.6806289999513,581231.524759999942 1033714.95058499998413,581331.44223899999633 1033789.889985,581346.47364099998958 1033769.913575))",13357000330,330
"POLYGON ((581316.410837 1033809.866396,581331.44223899999633 1033789.889985,581231.524759999942 1033714.95058499998413,581207.551573 1033728.22054,581316.410837 1033809.866396))",13357000340,340
"POLYGON ((581301.379436 1033829.842806,581316.410837 1033809.866396,581207.551573 1033728.22054,581183.578386 1033741.490496,581301.379436 1033829.842806))",13357000350,350
"POLYGON ((581301.379436 1033829.842806,581183.578386 1033741.490496,581159.60519899998326 1033754.7604519999586,581286.348034 1033849.819216,581301.379436 1033829.842806))",13357000360,360
"POLYGON ((581286.348034 1033849.819216,581159.60519899998326 1033754.7604519999586,581135.63201199995819 1033768.03040799999144,581271.316632 1033869.795626,581286.348034 1033849.819216))",13357000370,370
"POLYGON ((581254.03603199997451 1033892.76117199996952,581271.316632 1033869.795626,581217.05296899995301 1033829.097177,581200.6161599999759 1033849.088329,581254.03603199997451 1033892.76117199996952))",13357000390,390
"POLYGON ((581872.273 1034394.89,581904.55 1034421.043,581975.485 1034318.647,581942.755 1034293.144,581872.273 1034394.89))",13358000060,60
"POLYGON ((581927.887 1034439.951,581947.773 1034456.063,582019.281 1034352.772,582000.441 1034338.092,581999.123 1034337.065,581927.887 1034439.951))",13358000080,80
"POLYGON ((581966.278 1034471.057,581986.815 1034487.698,582058.867 1034383.617,582038.039 1034367.388,581966.278 1034471.057))",13358000100,100
"POLYGON ((581986.815 1034487.698,582006.564 1034503.699,582078.887 1034399.216,582058.867 1034383.617,581986.815 1034487.698))",13358000110,110
"POLYGON ((582024.963 1034518.607,582045.023 1034534.86,582117.873 1034429.593,582097.537 1034413.748,582024.963 1034518.607))",13358000130,130
"POLYGON ((582045.023 1034534.86,582082.685 1034565.376,582156.119 1034459.393,582117.873 1034429.593,582045.023 1034534.86))",13358000140,140
"POLYGON ((582159.66 1034441.819,582181.078 1034458.514,582254.557 1034350.507,582232.925 1034334.144,582159.66 1034441.819))",13358000180,180
"POLYGON ((582118.855 1034410.015,582159.66 1034441.819,582232.925 1034334.144,582191.695 1034302.955,582118.855 1034410.015))",13358000190,190
"POLYGON ((582101.963 1034396.849,582118.855 1034410.015,582191.695 1034302.955,582174.62 1034290.038,582101.963 1034396.849))",13358000200,200
"POLYGON ((582058.703 1034363.13,582101.963 1034396.849,582174.62 1034290.038,582130.929 1034256.988,582058.703 1034363.13))",13358000210,210
