WKT,HANDLE,PARCEL
"POLYGON ((587363.09261699998751 1026121.35963199997786,587409.54074399999809 1026139.868319,587440.86951099999715 1026061.247801,587430.510133609757759 1026061.033267460763454,587420.175769679364748 1026060.282503379508853,587409.894157345639542 1026058.997523858444765,587399.692893156432547 1026057.181777869933285,587389.59935799997766 1026054.84013899997808,587363.09261699998751 1026121.35963199997786))",10360000070,70
"POLYGON ((587409.54074399999809 1026139.868319,587448.48285399994347 1026155.38600299996324,587474.02484199998435 1026091.287587,587458.30679499998223 1026085.024248,587468.6096499999985 1026059.168912,587459.398422338301316 1026060.290833889157511,587450.145069639431313 1026060.984294478548691,587440.86951099999715 1026061.247801,587409.54074399999809 1026139.868319))",10360000090,90
"POLYGON ((587479.21293399995193 1026167.63135,587504.7549219999928 1026103.532934,587488.572395 1026097.084508,587474.6279499999946 1026132.078527,587475.0924309999682 1026132.263614,587463.49488799995743 1026161.3680099999765,587479.21293399995193 1026167.63135))",10360000110,110
"POLYGON ((587504.7549219999928 1026103.532934,587530.204367 1026039.66676,587520.42870255059097 1026044.290794985601678,587510.417395240277983 1026048.379687367705628,587500.199714455753565 1026051.921482726116665,587489.805532944272272 1026054.905826151603833,587479.26523947622627 1026057.323992519755848,587468.6096499999985 1026059.168912,587458.30679499998223 1026085.024248,587504.7549219999928 1026103.532934))",10360000120,120
"POLYGON ((584746.92452799994498 1011156.54465099994559,584711.540564 1011107.779524,584706.48194099997636 1011111.4500599999446,584741.865905 1011160.21518699999433,584746.92452799994498 1011156.54465099994559))",10386000165,165
"POLYGON ((585213.512845 1011657.828969,585239.353416 1011693.441676,585227.21272099995986 1011702.25096099998336,585298.27429099997971 1011800.18590499996208,585370.291264 1011831.327607,585233.74733799998648 1011643.14682599995285,585213.512845 1011657.828969))",10388000020,20
"POLYGON ((587111.19779699994251 1014670.9206669999985,587198.639711 1014643.803991,587192.25394399999641 1014622.60845499997959,587082.241549 1014656.1053209999809,587088.651803 1014677.38213299994823,587111.19779699994251 1014670.9206669999985))",10419000320,320
"POLYGON ((583002.85394499998074 1014580.54806599998847,582993.18442599999253 1014583.097698,582968.22813499998301 1014589.68381099996623,582911.219516 1014604.80491199996322,582983.912309 1014643.38658,582992.575591 1014647.98461399995722,583011.417857 1014612.835057,583002.85394499998074 1014580.54806599998847))",10482090162,162
"POLYGON ((582982.929923 1014544.436971,582976.87219499994535 1014521.598601,582886.29959499998949 1014545.795353,582916.4934399999911 1014561.96995199995581,582982.929923 1014544.436971))",10482090163,163
"POLYGON ((586637.7763 1023730.512299999944,586614.504599999986 1023721.3782,586576.987399999984 1023827.162299999967,586600.259 1023836.2964,586637.7763 1023730.512299999944))",10620000010,10
"POLYGON ((586623.5306 1023845.4305,586646.006199999945 1023782.0581,586622.734599999967 1023772.924,586600.259 1023836.2964,586623.5306 1023845.4305))",10620000020,20
"POLYGON ((586623.5306 1023845.4305,586694.0529 1023873.110499999952,586731.570199999958 1023767.3264,586661.0479 1023739.646399999969,586646.006199999945 1023782.0581,586623.5306 1023845.4305))",10620000050,50
"POLYGON ((586748.2665 1023894.3893,586785.7837 1023788.6052,586764.3739 1023780.2018,586726.8566 1023885.985899999971,586748.2665 1023894.3893))",10620000080,80
"POLYGON ((586847.2208 1023812.7193,586785.7837 1023788.6052,586748.2665 1023894.3893,586809.7036 1023918.503299999982,586847.2208 1023812.7193))",10620000090,90
"POLYGON ((586852.2347 1023798.582,586889.752 1023692.798,586854.8445 1023679.0968,586817.3273 1023784.880899999989,586852.2347 1023798.582))",10620000100,100
"POLYGON ((586817.3273 1023784.880899999989,586854.8445 1023679.0968,586796.6655 1023656.2615,586759.1482 1023762.045599999954,586817.3273 1023784.880899999989))",10620000110,110
"POLYGON ((586759.1482 1023762.045599999954,586796.6655 1023656.2615,586773.3939 1023647.1274,586735.8766 1023752.9115,586759.1482 1023762.045599999954))",10620000120,120
"POLYGON ((586712.605 1023743.7774,586750.1223 1023637.993299999973,586726.8506 1023628.859199999948,586689.3334 1023734.6433,586712.605 1023743.7774))",10620000140,140
"POLYGON ((586703.579 1023619.7251,586681.1837 1023682.8713,586704.4553 1023692.0054,586726.8506 1023628.859199999948,586703.579 1023619.7251))",10620000150,150
"POLYGON ((586680.3074 1023610.591,586642.7902 1023716.375099999947,586689.3334 1023734.6433,586704.4553 1023692.0054,586681.1837 1023682.8713,586703.579 1023619.7251,586680.3074 1023610.591))",10620000160,160
"POLYGON ((586698.112146 1024065.09423399996012,586744.457622 1024083.858477,586787.133522 1023977.070053,586740.78804699995089 1023958.305808,586698.112146 1024065.09423399996012))",10621000080,80
"POLYGON ((586628.59393099998124 1024036.947869,586651.766669 1024046.329991,586694.44257099996321 1023939.541562,586671.269834 1023930.1594399999594,586628.59393099998124 1024036.947869))",10621000100,100
"POLYGON ((586605.421193 1024027.565748,586628.59393099998124 1024036.947869,586671.269834 1023930.1594399999594,586648.09709599998314 1023920.77731699997094,586605.421193 1024027.565748))",10621000110,110
"POLYGON ((586369.409 1024387.726,586408.913 1024287.628,586386.997 1024279.063,586373.154 1024313.736,586347.286 1024378.527,586369.409 1024387.726))",10622000010,10
"POLYGON ((586500.229 1024307.234,586635.303 1024359.025,586675.591 1024256.682,586562.257 1024210.35,586542.149 1024202.13,586500.229 1024307.234))",10622000090,90
"POLYGON ((586533.022801 1024777.2992399999639,586557.15208799997345 1024786.9831199999899,586599.369028 1024682.70418899995275,586575.12837599997874 1024672.9756139999954,586533.022801 1024777.2992399999639))",10623000014,14
"POLYGON ((586859.24144 1024770.836644,586901.142844 1024666.43107699998654,586831.53913299995475 1024638.496808,586789.63772899995092 1024742.90237499994691,586859.24144 1024770.836644))",10623000070,70
"POLYGON ((586696.83278099994641 1024705.656682,586738.73418499995023 1024601.25111599999946,586669.130474 1024573.316846,586627.22907 1024677.72241299995221,586696.83278099994641 1024705.656682))",10623000120,120
"POLYGON ((586669.826 1024509.216,586710.831 1024405.677,586685.34 1024395.715,586644.734 1024498.866,586669.826 1024509.216))",10624000010,10
"POLYGON ((586706.854 1024524.488,586739.321 1024537.88,586780.801 1024433.034,586748.111 1024420.253,586706.854 1024524.488))",10624000020,20
"POLYGON ((586832.87 1024576.465,586853.096 1024584.808,586895.492 1024477.877,586875.071 1024469.893,586832.87 1024576.465))",10624000080,80
"POLYGON ((586853.096 1024584.808,586889.637 1024599.88,586919.478 1024524.272,586932.134 1024492.204,586895.492 1024477.877,586853.096 1024584.808))",10624000090,90
"POLYGON ((586889.637 1024599.88,586904.74 1024606.109,586926.219 1024526.749,586919.478 1024524.272,586889.637 1024599.88))",10624000100,100
"POLYGON ((587143.668288 1024700.05540599999949,587166.849717 1024709.416035,587209.071584 1024605.139652,587185.890155 1024595.779024,587143.668288 1024700.05540599999949))",10632000060,60
"POLYGON ((586944.442749 1024805.092442,586968.602665 1024814.6996499999659,587010.131612 1024711.222133,586985.97169599996414 1024701.614925,586944.442749 1024805.092442))",10633000125,125
"POLYGON ((586927.492802 1025301.312873,586969.12768899998628 1025196.155152,586945.89838899997994 1025186.913961,586904.263502 1025292.07168099994306,586927.492802 1025301.312873))",10634000070,70
"POLYGON ((586950.722103 1025310.554064,586992.35699 1025205.396343,586969.12768899998628 1025196.155152,586927.492802 1025301.312873,586950.722103 1025310.554064))",10634000080,80
"POLYGON ((586973.951403 1025319.795256,587015.58629 1025214.63753499998711,586992.35699 1025205.396343,586950.722103 1025310.554064,586973.951403 1025319.795256))",10634000090,90
"POLYGON ((586683.618 1025527.24,586742.876 1025550.69,586783.114 1025449.117,586723.879 1025425.644,586683.618 1025527.24))",10635000015,15
"POLYGON ((586796.403 1025438.037,586819.073 1025447.02,586860.169 1025341.612,586838.598 1025333.118,586837.501 1025332.685,586796.403 1025438.037))",10635000110,110
"POLYGON ((586771.381 1025428.121,586796.403 1025438.037,586837.501 1025332.685,586812.458 1025322.824,586771.381 1025428.121))",10635000120,120
"POLYGON ((586747.719 1025418.744,586771.381 1025428.121,586812.458 1025322.824,586788.775 1025313.498,586747.719 1025418.744))",10635000130,130
"POLYGON ((586747.719 1025418.744,586788.775 1025313.498,586721.67 1025287.245,586681.004 1025392.307,586747.719 1025418.744))",10635000140,140
"POLYGON ((587483.487919999985 1025157.372484,587525.05578599998262 1025053.32370299997274,587501.845679 1025044.061358,587460.26354199997149 1025148.118015,587483.487919999985 1025157.372484))",10639000085,85
"POLYGON ((587419.19668499997351 1024994.928729,587460.94265199999791 1024890.460912,587433.0793779999949 1024879.3416499999585,587391.33341099997051 1024983.80946699995548,587419.19668499997351 1024994.928729))",10639000150,150
"POLYGON ((587454.299432 1024825.4878299999982,587594.933741 1024882.275769,587627.3422009999631 1024802.07638199999928,587529.05294399999548 1024762.38731599994935,587538.794216 1024738.28114199999254,587496.44916399999056 1024721.18226899998263,587454.299432 1024825.4878299999982))",10640000060,60
"POLYGON ((587548.53398299997207 1024726.037305,587641.259698 1024763.479819,587659.1656489999732 1024719.168961,587566.439936 1024681.726447,587548.53398299997207 1024726.037305))",10640000110,110
"POLYGON ((589578.8954209999647 1022875.321205,589553.02869199996348 1022780.361168,589521.62851099995896 1022788.7444039999973,589547.51331599999685 1022883.77185599994846,589578.8954209999647 1022875.321205))",10654000110,110
"POLYGON ((589547.51331599999685 1022883.77185599994846,589521.62851099995896 1022788.7444039999973,589482.01597499998752 1022799.32018,589507.92358399997465 1022894.43267799995374,589547.51331599999685 1022883.77185599994846))",10654000120,120
"POLYGON ((589128.037 1023776.632,589120.888 1023808.373,589145.956 1023814.147,589214.177 1023829.86,589221.958 1023797.156,589128.037 1023776.632))",10657000160,160
"POLYGON ((589182.40386099996977 1027840.03480499994475,589272.28098799998406 1027875.33947,589265.992539783706889 1027858.368422423489392,589260.318729705526493 1027841.182122181518935,589255.266904002055526 1027823.802821451216005,589250.843603587709367 1027806.253022299730219,589247.054555586189963 1027788.555447549093515,589243.904665914713405 1027770.733011355623603,589241.398012932273559 1027752.808789541712031,589239.537842159275897 1027734.805989717599005,589238.326562075177208 1027716.747921233647503,589237.76574099995196 1027698.657965,589182.40386099996977 1027840.03480499994475))",10665030050,50
"POLYGON ((584648.459289 1009448.185042,584643.609994 1009439.43951,584582.032597 1009472.667035,584586.88129699998535 1009481.41289799998049,584648.459289 1009448.185042))",10779000070,70
"POLYGON ((583340.245034 1009186.15081799996551,583346.85860799998045 1009205.025686,583415.89232199999969 1009180.90905599994585,583409.278748 1009162.034188,583340.245034 1009186.15081799996551))",10798000070,70
"POLYGON ((583346.85860799998045 1009205.025686,583353.472182 1009223.900554,583422.50589599995874 1009199.78392299998086,583415.89232199999969 1009180.90905599994585,583346.85860799998045 1009205.025686))",10798000080,80
"POLYGON ((581859.744899 1021203.825599999982,581824.38687 1021065.66510199999902,581800.132132 1021071.72378899995238,581835.534509 1021210.05914,581859.744899 1021203.825599999982))",10932000100,100
"POLYGON ((581601.949 1023197.679,581618.569 1023197.91,581619.378 1023082.373,581602.748 1023081.994,581601.949 1023197.679))",10975000230,230
"POLYGON ((580548.119 1021045.872,580580.024 1021168.636,580615.347 1021158.84,580583.494 1021036.246,580548.119 1021045.872))",10995000060,60
"POLYGON ((580568.373 1021254.79,580602.89 1021379.627,580623.548 1021374.263,580589.175 1021249.119,580573.066 1021253.587,580568.373 1021254.79))",10996000230,230
"POLYGON ((578955.745 1021111.141,578990.127 1021238.674,579011.949 1021232.976,578977.838 1021105.283,578958.341 1021110.453,578955.745 1021111.141))",11023040040,40
"POLYGON ((578977.838 1021105.283,579011.949 1021232.976,579027.696 1021228.865,578993.065 1021101.246,578990.344 1021101.968,578977.838 1021105.283))",11023040050,50
"POLYGON ((578993.065 1021101.246,579027.696 1021228.865,579046.476 1021223.961,579012.16 1021096.183,578996.205 1021100.414,578993.065 1021101.246))",11023040060,60
