WKT,HANDLE,PARCEL,PARCELID
"POLYGON ((-90.207629024014125 38.673022994627068,-90.207411289169301 38.67277060257328,-90.207556333904776 38.672692548541001,-90.207772728357455 38.672940425408221,-90.207774064482564 38.672945195689131,-90.207629024014125 38.673022994627068))",12471000010,10,24710000100
"POLYGON ((-90.207629024014125 38.673022994627068,-90.207482428119832 38.673101624240275,-90.207261550645839 38.672851179121601,-90.207411289169301 38.67277060257328,-90.207629024014125 38.673022994627068))",12471000020,20,24710000200
"POLYGON ((-90.207337236078814 38.673179502064642,-90.207183625635992 38.6732618975674,-90.206963141897859 38.673011238700219,-90.207000835241388 38.672991477698552,-90.207117063436868 38.672928932134731,-90.207337236078814 38.673179502064642))",12471000050,50,24710000509
"POLYGON ((-90.207183625635992 38.6732618975674,-90.206900555764093 38.67341373028146,-90.206678921150512 38.673160256161381,-90.206737879986733 38.673129345398003,-90.206963141897859 38.673011238700219,-90.207183625635992 38.6732618975674))",12471000060,60,24710000600
"POLYGON ((-90.206900555764093 38.67341373028146,-90.206828636675823 38.673452305347219,-90.206606345820191 38.673198307714074,-90.206650744028366 38.673175029701959,-90.206678921150512 38.673160256161381,-90.206900555764093 38.67341373028146))",12471000070,70,24710000700
"POLYGON ((-90.206828636675823 38.673452305347219,-90.206754607723681 38.673492009125845,-90.206531815188882 38.673237381273054,-90.206606345820191 38.673198307714074,-90.206828636675823 38.673452305347219))",12471000080,80,24710000800
"POLYGON ((-90.206754607723681 38.673492009125845,-90.2066091648514 38.673570022703764,-90.206385207368655 38.673314246590508,-90.206531815188882 38.673237381273054,-90.206754607723681 38.673492009125845))",12471000090,90,24710000900
"POLYGON ((-90.2066091648514 38.673570022703764,-90.206534387908349 38.673610130855437,-90.206309791884493 38.673353787330456,-90.206385207368655 38.673314246590508,-90.2066091648514 38.673570022703764))",12471000100,100,24710001000
"POLYGON ((-90.206534387908349 38.673610130855437,-90.206394406907052 38.673685211541816,-90.206168912440077 38.673427646294435,-90.206217505749606 38.673402171302556,-90.206309791884493 38.673353787330456,-90.206534387908349 38.673610130855437))",12471000110,110,24710001100
"POLYGON ((-90.206394406907052 38.673685211541816,-90.206322336320596 38.673723868289635,-90.206318267147864 38.673724462136605,-90.206180712985187 38.673564497351222,-90.206096469778842 38.673466527132675,-90.206168912440077 38.673427646294435,-90.206394406907052 38.673685211541816))",12471000120,120,24710001200
"POLYGON ((-90.206416047106643 38.673242054252938,-90.206345770579802 38.673278955400356,-90.206127048746794 38.67302984810582,-90.206196895622526 38.672992624731101,-90.206416047106643 38.673242054252938))",12471000170,170,24710001700
"POLYGON ((-90.206493288004324 38.673201499303019,-90.206416047106643 38.673242054252938,-90.206196895622526 38.672992624731101,-90.206273879107499 38.67295159697553,-90.206493288004324 38.673201499303019))",12471000180,180,24710001800
"POLYGON ((-90.206786201653642 38.673047707037448,-90.206739367287625 38.673072297014812,-90.206640703296543 38.673124100425419,-90.206420452900105 38.672873479563336,-90.206564674401562 38.672796616422204,-90.206786201653642 38.673047707037448))",12471000210,210,24710002100
"POLYGON ((-90.206987972793499 38.672371793907885,-90.206864593714471 38.672437547824266,-90.206642318777554 38.672184670598043,-90.206765528573584 38.6721191416529,-90.206987972793499 38.672371793907885))",12472000030,30,24720000300
"POLYGON ((-90.206864593714471 38.672437547824266,-90.206742608023518 38.672502560970251,-90.206520168882619 38.672249636421029,-90.206642318777554 38.672184670598043,-90.206864593714471 38.672437547824266))",12472000040,40,24720000400
"POLYGON ((-90.206572726345854 38.672593100334957,-90.206489322902158 38.672637550018777,-90.206267369827955 38.672384085272206,-90.206350530516531 38.67233985755275,-90.206572726345854 38.672593100334957))",12472000080,80,24720000800
"POLYGON ((-90.206224280476221 38.672778802534623,-90.206157835398628 38.672814216703017,-90.205935684360639 38.672560492719299,-90.206001254922285 38.672525617416348,-90.206224280476221 38.672778802534623))",12472000130,130,24720001300
"POLYGON ((-90.205708307744843 38.672619411882081,-90.205654664429758 38.672649009275048,-90.205413806431991 38.67242456353933,-90.205432373250815 38.672410345389025,-90.205482581638421 38.67237189478201,-90.205708307744843 38.672619411882081))",12472000230,230,24720002300
"POLYGON ((-90.206647059227748 38.672119285523912,-90.206574893130934 38.672157733509486,-90.206275978301022 38.671830247902179,-90.206347592751484 38.67179132366276,-90.206647059227748 38.672119285523912))",12472000310,310,24720003100
"POLYGON ((-90.206794259150286 38.67204086166138,-90.206647059227748 38.672119285523912,-90.206347592751484 38.67179132366276,-90.206493868537109 38.671711818694533,-90.206794259150286 38.67204086166138))",12472000320,320,24720003200
"POLYGON ((-90.208497209959219 38.671563933655626,-90.208215551154893 38.671240366846988,-90.208352786547081 38.671166628384206,-90.208634785638424 38.67149058511805,-90.208497209959219 38.671563933655626))",12473000040,40,24730000401
"POLYGON ((-90.208214816892664 38.671714490665238,-90.207958150678806 38.671419633812768,-90.208102967396769 38.671342425508456,-90.208359633996224 38.671637282029302,-90.208214816892664 38.671714490665238))",12473000060,60,24730000600
"POLYGON ((-90.207693472747792 38.671992440253753,-90.207436807999969 38.671697582164278,-90.20758162589209 38.671620374483631,-90.207838290969349 38.671915232271544,-90.207693472747792 38.671992440253753))",12473000100,100,24730001000
"POLYGON ((-90.207583410689196 38.672051118198773,-90.207346489556841 38.671778941324831,-90.207239323919339 38.671836074799138,-90.207219580581253 38.671813393344785,-90.207436807999969 38.671697582164278,-90.207693472747792 38.671992440253753,-90.207583410689196 38.672051118198773))",12473000110,110,24730001100
"POLYGON ((-90.207476244831426 38.672108251886577,-90.207239323919339 38.671836074799138,-90.207346489556841 38.671778941324831,-90.207583410689196 38.672051118198773,-90.207476244831426 38.672108251886577))",12473000120,120,24730001200
"POLYGON ((-90.208595341886891 38.671079915929766,-90.208336361485934 38.670782400933525,-90.208376169969156 38.670780942605326,-90.208415808240375 38.670777711952702,-90.208455148014863 38.670772719431255,-90.208682231166677 38.671033590472639,-90.208595341886891 38.671079915929766))",12473000230,230,24730002303
"POLYGON ((-90.208682231166677 38.671033590472639,-90.208455148014863 38.670772719431255,-90.208494111040324 38.670765971546899,-90.208532520749969 38.67075749541268,-90.208570252519877 38.670747318530239,-90.208775951269246 38.670983622987677,-90.208682231166677 38.671033590472639))",12473000240,240,24730002400
"POLYGON ((-90.208775951269246 38.670983622987677,-90.208570252519877 38.670747318530239,-90.208607554454289 38.670735345207731,-90.208643916191633 38.670721709763249,-90.208841407694635 38.670948724380644,-90.208775951269246 38.670983622987677))",12473000250,250,24730002500
"POLYGON ((-90.209096292752534 38.672240761678616,-90.208879199396861 38.67199122081071,-90.208951607911189 38.671952616102949,-90.209168701403357 38.672202156841408,-90.209096292752534 38.672240761678616))",12474000045,45,24740000450
"POLYGON ((-90.209023884020553 38.672279366470406,-90.208806790801404 38.672029825470332,-90.208879199396861 38.67199122081071,-90.209096292752534 38.672240761678616,-90.209023884020553 38.672279366470406))",12474000050,50,24740000500
"POLYGON ((-90.208806657362288 38.672395180573417,-90.208589564552682 38.672145639176811,-90.208673558785279 38.672100857925415,-90.208890651753251 38.672350399168707,-90.208806657362288 38.672395180573417))",12474000070,70,24740000700
"POLYGON ((-90.208082700590523 38.67241586957244,-90.208155109962391 38.672377265366805,-90.208372201952898 38.672626807556505,-90.208299792444507 38.672665411894336,-90.208082700590523 38.67241586957244))",12474000130,130,24740001300
"POLYGON ((-90.208227382858468 38.672704016186756,-90.208010291140994 38.672454473732692,-90.208082700590523 38.67241586957244,-90.208299792444507 38.672665411894336,-90.208227382858468 38.672704016186756))",12474000140,140,24740001400
"POLYGON ((-90.208082563456955 38.672781224635429,-90.207865472012543 38.672531681917008,-90.208010291140994 38.672454473732692,-90.208227382858468 38.672704016186756,-90.208082563456955 38.672781224635429))",12474000150,150,24740001500
"POLYGON ((-90.207666699618528 38.672571239166203,-90.207449610217921 38.672321695633975,-90.207623393158912 38.672229046405626,-90.207840482883697 38.672478589617867,-90.207666699618528 38.672571239166203))",12474000180,180,24740001800
"POLYGON ((-90.207840482883697 38.672478589617867,-90.207623393158912 38.672229046405626,-90.207715121407247 38.672180142949074,-90.207932211304978 38.672429685993883,-90.207840482883697 38.672478589617867))",12474000190,190,24740001900
"POLYGON ((-90.207932211304978 38.672429685993883,-90.207715121407247 38.672180142949074,-90.207806849530996 38.67213123941967,-90.20802393960517 38.672380782297033,-90.207932211304978 38.672429685993883))",12474000200,200,24740002000
"POLYGON ((-90.20802393960517 38.672380782297033,-90.207806849530996 38.67213123941967,-90.207898548566362 38.672082351256549,-90.208115638813439 38.67233189396925,-90.20802393960517 38.672380782297033))",12474000210,210,24740002100
"POLYGON ((-90.208260457271109 38.672254685469824,-90.208043366751014 38.672005143021472,-90.208115775728629 38.671966538835854,-90.208332866381738 38.672216081152015,-90.208260457271109 38.672254685469824))",12474000240,240,24740002400
"POLYGON ((-90.208477684377101 38.67213887237746,-90.208260593447406 38.671889330328398,-90.208347483930325 38.671843005136758,-90.208564575020318 38.672092547027212,-90.208477684377101 38.67213887237746))",12474000270,270,24740002700
"POLYGON ((-90.208897654798207 38.671914965912343,-90.208680563076769 38.671665424627164,-90.208810897948652 38.671595936341269,-90.209027989915825 38.67184547738578,-90.208897654798207 38.671914965912343))",12474000320,320,24740003200
"POLYGON ((-90.209027989915825 38.67184547738578,-90.208810897948652 38.671595936341269,-90.208912269340587 38.671541889795002,-90.209129361498867 38.671791430654451,-90.209027989915825 38.67184547738578))",12474000330,330,24740003300
"POLYGON ((-90.208838204183536 38.673375716556677,-90.20853151842104 38.673539532342438,-90.208517360969026 38.67354709215747,-90.208486042956764 38.673511676466113,-90.20843468462553 38.673453235444711,-90.208761719384071 38.673288174701867,-90.208838204183536 38.673375716556677))",12475000100,100,24750001000
"POLYGON ((-90.208761719384071 38.673288174701867,-90.20843468462553 38.673453235444711,-90.208392681023241 38.673405441806416,-90.208716449873648 38.673236366706604,-90.208761719384071 38.673288174701867))",12475000110,110,24750001100
"POLYGON ((-90.208716449873648 38.673236366706604,-90.208392681023241 38.673405441806416,-90.208370547813985 38.673380261174501,-90.20834667133748 38.6733530881232,-90.20866735218118 38.673180180350805,-90.208716449873648 38.673236366706604))",12475000120,120,24750001200
"POLYGON ((-90.20866735218118 38.673180180350805,-90.20834667133748 38.6733530881232,-90.208302551492878 38.673302018755123,-90.208623261260755 38.673129720770156,-90.20866735218118 38.673180180350805))",12475000130,130,24750001300
"POLYGON ((-90.208567673338749 38.67310794932088,-90.208397220777442 38.673199544335368,-90.208271224095625 38.673267240036665,-90.208106432495001 38.673079736292607,-90.208042313758511 38.673005927122119,-90.20834215098084 38.672845431759882,-90.208567673338749 38.67310794932088))",12475000140,140,24750001400
"POLYGON ((-90.209946618383967 38.672366958589201,-90.209879623209375 38.672402961136768,-90.209655221032193 38.672142565971285,-90.209723724949328 38.672105894557205,-90.209946618383967 38.672366958589201))",12475000270,270,24750002700
"POLYGON ((-90.210165496159334 38.672474545053298,-90.209807396408749 38.672663625149923,-90.209765273134479 38.672615861904447,-90.209799430870703 38.672597057756697,-90.210118971378122 38.67242119949649,-90.210165496159334 38.672474545053298))",12475000300,300,24750003000
"POLYGON ((-90.210210026687989 38.672525603765031,-90.210276310076537 38.672601602897416,-90.210279838501577 38.672605648185282,-90.210275770050046 38.672607821080319,-90.209923898837246 38.672795780203707,-90.209843616678839 38.672704695583143,-90.210210026687989 38.672525603765031))",12475000320,320,24750003200
"POLYGON ((-90.209799430870703 38.672597057756697,-90.209765273134479 38.672615861904447,-90.209705625630065 38.672548223891759,-90.2097127271077 38.672544408271278,-90.209740869730467 38.672529287917278,-90.209799430870703 38.672597057756697))",12475000330,330,24750003300
"POLYGON ((-90.211444594754425 38.671987690023521,-90.211227265605984 38.671738275614878,-90.211371879650272 38.671660833330272,-90.211589209073296 38.671910247474642,-90.211444594754425 38.671987690023521))",12476000040,40,24760000400
"POLYGON ((-90.211169826698239 38.672134830366431,-90.210952498064842 38.671885415458391,-90.211082651250649 38.671815717718395,-90.21129998012799 38.672065132391339,-90.211169826698239 38.672134830366431))",12476000070,70,24760000700
"POLYGON ((-90.211083057605066 38.672181295603508,-90.210865729134341 38.67193188053416,-90.210952498064842 38.671885415458391,-90.211169826698239 38.672134830366431,-90.211083057605066 38.672181295603508))",12476000080,80,24760000800
"POLYGON ((-90.210938442200941 38.672258737518618,-90.210721113997792 38.672009322184962,-90.210793421606695 38.671970601382199,-90.211010749941877 38.672220016583694,-90.210938442200941 38.672258737518618))",12476000100,100,24760001000
"POLYGON ((-90.210793826482217 38.672336179252618,-90.210576498553678 38.67208676365469,-90.210648806314623 38.672048042942471,-90.210866134382215 38.672297458408259,-90.210793826482217 38.672336179252618))",12476000120,120,24760001200
"POLYGON ((-90.210320060872391 38.672157577113758,-90.210102735126355 38.67190816063934,-90.210175042960401 38.671869440219091,-90.210392368841994 38.672118856561369,-90.210320060872391 38.672157577113758))",12476000190,190,24760001900
"POLYGON ((-90.210392368841994 38.672118856561369,-90.210175042960401 38.671869440219091,-90.210247350720195 38.671830719753579,-90.210464676733835 38.672080135963704,-90.210392368841994 38.672118856561369))",12476000200,200,24760002000
"POLYGON ((-90.210753907523468 38.671925253120349,-90.210536580967641 38.671675837438791,-90.210608888335088 38.671637116746901,-90.210826215026472 38.671886532296327,-90.210753907523468 38.671925253120349))",12476000240,240,24760002400
"POLYGON ((-90.210826215026472 38.671886532296327,-90.210608888335088 38.671637116746901,-90.210681195624772 38.671598396009742,-90.210898522451686 38.671847811427035,-90.210826215026472 38.671886532296327))",12476000250,250,24760002500
"POLYGON ((-90.210898522451686 38.671847811427035,-90.210681195624772 38.671598396009742,-90.210825809970828 38.671520954399647,-90.211043137072338 38.671770369552654,-90.210898522451686 38.671847811427035))",12476000260,260,24760002600
"POLYGON ((-90.210631339693123 38.671422329336302,-90.210414243408877 38.671172791232152,-90.210521405548278 38.671115654825577,-90.210738502034516 38.671365192736843,-90.210631339693123 38.671422329336302))",12477000080,80,24770000800
"POLYGON ((-90.210418215637276 38.671104257242419,-90.210201121049394 38.670854718733018,-90.210374896909698 38.670762065364634,-90.210591991821616 38.671011603556785,-90.210418215637276 38.671104257242419))",12477000260,260,24770002600
"POLYGON ((-90.210401294760871 38.670548742138692,-90.210164465301887 38.670276518750804,-90.210309277299459 38.670199307724644,-90.21054610717556 38.670471530761269,-90.210401294760871 38.670548742138692))",12478000020,20,24780000200
"POLYGON ((-90.208976354973174 38.670860172082911,-90.208788316486846 38.670644024079742,-90.208816436482763 38.670623360282455,-90.208843064238735 38.670601515317578,-90.208868119150253 38.670578555312844,-90.208891525374185 38.670554549771268,-90.208913212058533 38.670529571360809,-90.20893311355664 38.670503695694336,-90.208951169626147 38.670477001100778,-90.208967325611169 38.670449568387909,-90.208981532607808 38.670421480597852,-90.208993747612126 38.670392822755616,-90.209265983387056 38.670705752913655,-90.208976354973174 38.670860172082911))",12478000140,140,24780001400
"POLYGON ((-90.21127124332908 38.670083563421095,-90.211199234813279 38.67012227278807,-90.210953410619481 38.669841611381976,-90.211027455857163 38.669804178581025,-90.21127124332908 38.670083563421095))",12479000100,100,24790001000
"POLYGON ((-90.211199234813279 38.67012227278807,-90.211131522727953 38.670158672453347,-90.21088531083403 38.669876038367931,-90.210953410619481 38.669841611381976,-90.211199234813279 38.67012227278807))",12479000110,110,24790001100
"POLYGON ((-90.212226151039616 38.670579193656756,-90.212155356170513 38.670616602290792,-90.211929582471328 38.670367361977959,-90.212003037920439 38.670328529426847,-90.212226151039616 38.670579193656756))",12480000030,30,24800000300
"POLYGON ((-90.212155356170513 38.670616602290792,-90.212082757029108 38.670654967497732,-90.211857394071941 38.670405527609674,-90.211929582471328 38.670367361977959,-90.212155356170513 38.670616602290792))",12480000040,40,24800000400
"POLYGON ((-90.211939959440201 38.670730424108434,-90.211868911545025 38.670767966492548,-90.211644257775816 38.670518212171423,-90.211715505695679 38.67048054410418,-90.211939959440201 38.670730424108434))",12480000060,60,24800000600
"POLYGON ((-90.211868911545025 38.670767966492548,-90.211792222845162 38.670808487941123,-90.211567119835252 38.67055899322569,-90.211644257775816 38.670518212171423,-90.211868911545025 38.670767966492548))",12480000070,70,24800000700
"POLYGON ((-90.211792222845162 38.670808487941123,-90.21172389512995 38.670844592607189,-90.211498356917602 38.670595346563807,-90.211567119835252 38.67055899322569,-90.211792222845162 38.670808487941123))",12480000080,80,24800000800
"POLYGON ((-90.21172389512995 38.670844592607189,-90.211651941390741 38.670882615900432,-90.211426827954369 38.670633164827642,-90.211498356917602 38.670595346563807,-90.21172389512995 38.670844592607189))",12480000090,90,24800000900
"POLYGON ((-90.211651941390741 38.670882615900432,-90.211429821201989 38.670999984345215,-90.211212103746618 38.670746684916402,-90.211426827954369 38.670633164827642,-90.211651941390741 38.670882615900432))",12480000100,100,24800001000
"POLYGON ((-90.211472648102259 38.670542105245843,-90.21133172063864 38.670616659589811,-90.211104228072074 38.670373116723027,-90.211243798165711 38.670298092477587,-90.211472648102259 38.670542105245843))",12480000120,120,24800001200
"POLYGON ((-90.211546637629951 38.670502961269975,-90.211472648102259 38.670542105245843,-90.211243798165711 38.670298092477587,-90.211318306093261 38.670258043772677,-90.211546637629951 38.670502961269975))",12480000130,130,24800001300
"POLYGON ((-90.211655994839134 38.670445106158269,-90.21160412959641 38.670472546906055,-90.21137504523459 38.670227545276695,-90.211426722606291 38.670199766414598,-90.211655994839134 38.670445106158269))",12480000150,150,24800001500
"POLYGON ((-90.211907356039148 38.670312124835654,-90.211835901193041 38.670349927059959,-90.211602924518743 38.67010505079427,-90.211674329033059 38.670066669194973,-90.211907356039148 38.670312124835654))",12480000180,180,24800001800
"POLYGON ((-90.212194052192729 38.670160450856365,-90.212123204895519 38.670197930738901,-90.211889556569204 38.669950977455102,-90.211961852372099 38.669912114599427,-90.212194052192729 38.670160450856365))",12480000200,200,24800002000
"POLYGON ((-90.212264057011794 38.670123413690348,-90.212194052192729 38.670160450856365,-90.211961852372099 38.669912114599427,-90.21203016403625 38.669875394659243,-90.212264057011794 38.670123413690348))",12480000210,210,24800002100
"POLYGON ((-90.21432673272939 38.669782497242139,-90.214282418035893 38.669843985250438,-90.213953209708095 38.669702289279854,-90.21399647261309 38.66964022491382,-90.21432673272939 38.669782497242139))",12482000030,30,24820000300
"POLYGON ((-90.214282418035893 38.669843985250438,-90.214240082664489 38.66990272942121,-90.213912197782221 38.669761121706358,-90.213953209708095 38.669702289279854,-90.214282418035893 38.669843985250438))",12482000040,40,24820000400
"POLYGON ((-90.214240082664489 38.66990272942121,-90.214194179340595 38.669966426716663,-90.213867381202547 38.669825411918211,-90.213912197782221 38.669761121706358,-90.214240082664489 38.66990272942121))",12482000045,45,24820000450
"POLYGON ((-90.214194179340595 38.669966426716663,-90.214063361647092 38.670147952114483,-90.213739744041163 38.67000850994863,-90.213867381202547 38.669825411918211,-90.214194179340595 38.669966426716663))",12482000050,50,24820000500
"POLYGON ((-90.214063361647092 38.670147952114483,-90.214017070589136 38.670212183841741,-90.213694694633304 38.670073137268275,-90.213739744041163 38.67000850994863,-90.214063361647092 38.670147952114483))",12482000060,60,24820000600
"POLYGON ((-90.214017070589136 38.670212183841741,-90.213975745622406 38.670269527223105,-90.213654295240829 38.670131092408013,-90.213694694633304 38.670073137268275,-90.214017070589136 38.670212183841741))",12482000070,70,24820000700
"POLYGON ((-90.213845553769104 38.670450180697323,-90.213800759233052 38.670512334596872,-90.213483861804292 38.670375582773438,-90.213527365058852 38.670313178685291,-90.213845553769104 38.670450180697323))",12482000100,100,24820001009
"POLYGON ((-90.213443877542815 38.670354986074187,-90.213385370952423 38.670438790686532,-90.213327655514007 38.670520043501291,-90.213066864450951 38.67025626463375,-90.213063689906875 38.670253055062197,-90.21309928707926 38.670203147603701,-90.213443877542815 38.670354986074187))",12482000140,140,24820001400
"POLYGON ((-90.213528752022185 38.670233410117874,-90.213443877542815 38.670354986074187,-90.21309928707926 38.670203147603701,-90.213185613388021 38.670082110925215,-90.213528752022185 38.670233410117874))",12482000150,150,24820001500
"POLYGON ((-90.21351948586657 38.669276409089022,-90.213199952945601 38.66913453432916,-90.213290662096099 38.669009342762948,-90.213609304457151 38.669150473687395,-90.21351948586657 38.669276409089022))",12483000010,10,24830000100
"POLYGON ((-90.213064586537541 38.669242873913959,-90.21297498416827 38.669368776475217,-90.212647791930451 38.669225118453525,-90.212736465932053 38.669098486180033,-90.213064586537541 38.669242873913959))",12483000160,160,24830001600
"POLYGON ((-90.213109743364967 38.669179422350048,-90.213064586537541 38.669242873913959,-90.212736465932053 38.669098486180033,-90.212780964877425 38.669034934266186,-90.213109743364967 38.669179422350048))",12483000170,170,24830001700
"POLYGON ((-90.213155999097097 38.669114424769354,-90.213109743364967 38.669179422350048,-90.212780964877425 38.669034934266186,-90.212826693140457 38.668969633461792,-90.213155999097097 38.669114424769354))",12483000180,180,24830001800
"POLYGON ((-90.213155999097097 38.669114424769354,-90.212826693140457 38.668969633461792,-90.212913207110006 38.668846082148185,-90.213056045245565 38.668906361202687,-90.213244991851809 38.668989281184913,-90.213155999097097 38.669114424769354))",12483000190,190,24830001900
"POLYGON ((-90.212560434779974 38.669007400644837,-90.212113520442358 38.66882105128122,-90.212291177297772 38.668573008232258,-90.212397214386939 38.668619003497454,-90.212730567298024 38.66876455014485,-90.212560434779974 38.669007400644837))",12484000010,10,24840000100
"POLYGON ((-90.212405438292123 38.669228650327604,-90.212352808529275 38.669303775334413,-90.211903200106107 38.66911812697289,-90.211956256803106 38.669043178961481,-90.212405438292123 38.669228650327604))",12484000050,50,24840000500
"POLYGON ((-90.211818306436385 38.669150862675288,-90.211732894071716 38.669271664473811,-90.211671353999776 38.669245489019978,-90.211756398489783 38.669123859831117,-90.211818306436385 38.669150862675288))",12484000100,100,24840001007
"POLYGON ((-90.21334776774701 38.666928208465265,-90.213739664053193 38.667098692047972,-90.213863107963931 38.667152392654089,-90.213778253557109 38.6672761437502,-90.213535141476683 38.667624663793283,-90.213066969588638 38.667428685216485,-90.213033366999582 38.667414617432136,-90.213134687500201 38.667257717367782,-90.21334776774701 38.666928208465265))",12485000010,10,24850000100
"POLYGON ((-90.212347654965711 38.668409039953289,-90.212313019199797 38.668394002845751,-90.212913569699552 38.66752619698083,-90.212915979272353 38.667522732062714,-90.212983395749717 38.667477082321874,-90.213013216166516 38.667456890817675,-90.21350707561939 38.667663334362061,-90.212837209059472 38.668614193319833,-90.212833228586021 38.668619837377591,-90.212827466414424 38.668617335362384,-90.212347654965711 38.668409039953289))",12485000020,20,24850000200
"POLYGON ((-90.21334776774701 38.666928208465265,-90.213134687500201 38.667257717367782,-90.212730115700737 38.667071653053178,-90.212957159975247 38.666758281419895,-90.213026346064424 38.666788379752681,-90.21334776774701 38.666928208465265))",12485000080,80,24850000800
"POLYGON ((-90.214378334237395 38.667469671546591,-90.214429540347581 38.667397738391742,-90.214759000300504 38.667540633351955,-90.214707794514368 38.667612566691588,-90.214378334237395 38.667469671546591))",12486000010,10,24860000100
"POLYGON ((-90.214320270093324 38.667551238501659,-90.214378334237395 38.667469671546591,-90.214707794514368 38.667612566691588,-90.214648805316202 38.667695433871579,-90.214320270093324 38.667551238501659))",12486000020,20,24860000200
"POLYGON ((-90.214277598155661 38.667611182755465,-90.214320270093324 38.667551238501659,-90.214648805316202 38.667695433871579,-90.214606133649369 38.667755378280383,-90.214277598155661 38.667611182755465))",12486000030,30,24860000300
"POLYGON ((-90.214234926150127 38.667671126992801,-90.214277598155661 38.667611182755465,-90.214606133649369 38.667755378280383,-90.21456346190763 38.667815322672702,-90.214234926150127 38.667671126992801))",12486000040,40,24860000400
"POLYGON ((-90.214192254069701 38.667731071213652,-90.214234926150127 38.667671126992801,-90.21456346190763 38.667815322672702,-90.214520790098021 38.667875267048565,-90.214192254069701 38.667731071213652))",12486000050,50,24860000500
"POLYGON ((-90.214064237407044 38.667910903780154,-90.214149581921362 38.667791015420796,-90.214478118217016 38.667935211407951,-90.214392774237339 38.668055100077318,-90.214064237407044 38.667910903780154))",12486000070,70,24860000700
"POLYGON ((-90.213893547521721 38.668150680303988,-90.213936220101886 38.66809073619843,-90.214264757734128 38.668234932957837,-90.21422208542478 38.668294877218401,-90.213893547521721 38.668150680303988))",12486000090,90,24860000900
"POLYGON ((-90.214179413040512 38.668354821462479,-90.213850874873657 38.668210624393083,-90.213893547521721 38.668150680303988,-90.21422208542478 38.668294877218401,-90.214179413040512 38.668354821462479))",12486000100,100,24860001000
"POLYGON ((-90.213808202150688 38.668270568465701,-90.213850874873657 38.668210624393083,-90.214179413040512 38.668354821462479,-90.214136740588387 38.668414765690109,-90.213808202150688 38.668270568465701))",12486000110,110,24860001100
"POLYGON ((-90.213765529359833 38.668330512524605,-90.213808202150688 38.668270568465701,-90.214136740588387 38.668414765690109,-90.214094068064838 38.668474709901261,-90.213765529359833 38.668330512524605))",12486000120,120,24860001200
"POLYGON ((-90.21368018356047 38.668450400587474,-90.213722856494101 38.668390456564268,-90.214051395466427 38.668534654095936,-90.214008722800088 38.668594598274133,-90.21368018356047 38.668450400587474))",12486000140,140,24860001400
"POLYGON ((-90.213374080396505 38.668190171007403,-90.213425288142176 38.668118238356897,-90.213753825124542 38.668262436660328,-90.213702617701045 38.668334369495213,-90.213374080396505 38.668190171007403))",12486000270,270,24860002700
"POLYGON ((-90.213425288142176 38.668118238356897,-90.213476495781549 38.668046305682651,-90.213805032441741 38.668190503798975,-90.213753825124542 38.668262436660328,-90.213425288142176 38.668118238356897))",12486000280,280,24860002800
"POLYGON ((-90.213476495781549 38.668046305682651,-90.213519168736994 38.667986361767959,-90.213847705129865 38.668130559732035,-90.213805032441741 38.668190503798975,-90.213476495781549 38.668046305682651))",12486000290,290,24860002900
"POLYGON ((-90.213561841621043 38.667926417839524,-90.213604514430202 38.667866473891884,-90.21393305028846 38.668010671545957,-90.213890377743112 38.668070615645853,-90.213561841621043 38.667926417839524))",12486000310,310,24860003100
"POLYGON ((-90.21364718717146 38.667806529927773,-90.213689859841324 38.667746585949935,-90.214018395164985 38.667890783294027,-90.213975722762413 38.667950727426856,-90.21364718717146 38.667806529927773))",12486000330,330,24860003300
"POLYGON ((-90.213689859841324 38.667746585949935,-90.213732532439806 38.667686641952884,-90.214061067492651 38.667830839144699,-90.214018395164985 38.667890783294027,-90.213689859841324 38.667746585949935))",12486000340,340,24860003400
"POLYGON ((-90.213732532439806 38.667686641952884,-90.213775204966907 38.667626697942097,-90.214103739752431 38.667770894976172,-90.214061067492651 38.667830839144699,-90.213732532439806 38.667686641952884))",12486000350,350,24860003500
"POLYGON ((-90.213775204966907 38.667626697942097,-90.213817877422599 38.667566753912105,-90.214146411940803 38.667710950793925,-90.214103739752431 38.667770894976172,-90.213775204966907 38.667626697942097))",12486000360,360,24860003600
"POLYGON ((-90.213860549803414 38.667506809865621,-90.213903222116315 38.667446865805424,-90.21423175609992 38.667591062377255,-90.214189084054325 38.66765100659245,-90.213860549803414 38.667506809865621))",12486000380,380,24860003800
"POLYGON ((-90.213903222116315 38.667446865805424,-90.213988566527973 38.667326977632875,-90.214317099973456 38.667471173894704,-90.21423175609992 38.667591062377255,-90.213903222116315 38.667446865805424))",12486000390,390,24860003900
"POLYGON ((-90.214608773344082 38.668779983589779,-90.21465144553143 38.66872003915163,-90.214980011773406 38.668864200440581,-90.214937339860441 38.668924145033756,-90.214608773344082 38.668779983589779))",12487000150,150,24870001500
"POLYGON ((-90.214438083891267 38.66901976117768,-90.214480756360686 38.668959816805412,-90.214809323682658 38.669103978714432,-90.214766651484098 38.669163923241726,-90.214438083891267 38.66901976117768))",12487000190,190,24870001900
"POLYGON ((-90.214137494416235 38.669202543696159,-90.214308185684644 38.668962766725841,-90.214392237355824 38.668999645468034,-90.214221546607391 38.669239422703846,-90.214137494416235 38.669202543696159))",12487000240,240,24870002400
