WKT,HANDLE,PARCEL,PARCELID
"POLYGON ((-90.194176480439907 38.651885455504377,-90.194081608264042 38.651915277870792,-90.193936855694787 38.651623808388059,-90.194031945578587 38.651594590806035,-90.194176480439907 38.651885455504377))",10359000110,110,3590001100
"POLYGON ((-90.194312166775333 38.651842801006289,-90.194176480439907 38.651885455504377,-90.194031945578587 38.651594590806035,-90.194168090174642 38.651552758697051,-90.194312166775333 38.651842801006289))",10359000120,120,3590001200
"POLYGON ((-90.194608655273342 38.651240826694995,-90.194484190444186 38.650993493183577,-90.194506935118966 38.650969751731417,-90.194528010099802 38.650945080932331,-90.194547353772151 38.65091955291561,-90.194564909583406 38.650893242316677,-90.194580626208264 38.650866226058845,-90.194594457698727 38.650838583128497,-90.194771516782367 38.651190429640259,-90.194608655273342 38.651240826694995))",10360000011,11,3600000110
"POLYGON ((-90.194201500505969 38.651366818332363,-90.194038638202514 38.651417214588641,-90.193929856049195 38.651201042006441,-90.193966133514309 38.651200548172788,-90.194002329668464 38.651198581659287,-90.194038347356482 38.651195147744289,-90.194074089902259 38.651190255644863,-90.194109461368299 38.651183918492016,-90.194201500505969 38.651366818332363))",10360000070,70,3600000700
"POLYGON ((-90.194038638202514 38.651417214588641,-90.193902094271238 38.651459466636311,-90.193813405651781 38.651283223490552,-90.193868518233359 38.651266169530352,-90.193832744039028 38.651195078444715,-90.193864985425591 38.651198243861948,-90.193897379340257 38.6512002331433,-90.193929856049195 38.651201042006441,-90.194038638202514 38.651417214588641))",10360000090,90,3600000900
"POLYGON ((-90.193794344323507 38.651492808546649,-90.193705655928056 38.651316565321153,-90.193762397179427 38.651299007454092,-90.193810815913679 38.651395226023268,-90.193809187289361 38.651395729981878,-90.193849457066989 38.651475754593989,-90.193794344323507 38.651492808546649))",10360000110,110,3600001100
"POLYGON ((-90.193705655928056 38.651316565321153,-90.193617289295744 38.651140960591427,-90.193651466060956 38.651153747736004,-90.193686474249304 38.651165067587996,-90.19372221150789 38.651174887051589,-90.193758573352142 38.651183177417678,-90.193795453471267 38.651189914447734,-90.193832744039028 38.651195078444715,-90.193868518233359 38.651266169530352,-90.193705655928056 38.651316565321153))",10360000120,120,3600001200
"POLYGON ((-90.20353212318939 38.610298339613102,-90.203656507433323 38.610164748942957,-90.203674169342236 38.610174872972415,-90.203549785113339 38.610308463661148,-90.20353212318939 38.610298339613102))",10386000165,165,3860001650
"POLYGON ((-90.201893509912026 38.611670665757465,-90.201802669040234 38.611768224351195,-90.201845057939721 38.611792522679636,-90.201595244344574 38.612060808524056,-90.201342847403197 38.612145675921901,-90.201822861849109 38.611630168559977,-90.201893509912026 38.611670665757465))",10388000020,20,3880000200
"POLYGON ((-90.195217031254344 38.619927212432884,-90.194911289130701 38.619851951623076,-90.194933887255317 38.619793808843184,-90.195318554479854 38.619886795586858,-90.19529586998145 38.619945161394767,-90.195217031254344 38.619927212432884))",10419000320,320,4190003200
